event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,gps:hdop,gps:satellite-count,gps-time-to-fix,gps:vdop,ground-speed,heading,height-above-ellipsoid,height-raw,location-error-text,manually-marked-outlier,raptor-workshop:migration-state,vertical-error-numerical,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
2165431108,true,2004-09-06,-75.28533,40.778,,,,,,,,,,,,,,gps,Cathartes aura,52067,Irma,Vultures Acopian Center USA 2003-2016
2165431112,true,2004-09-07,-75.289,40.77417,,,,,,,,,,,,,,gps,Cathartes aura,52067,Irma,Vultures Acopian Center USA 2003-2016
2165431119,true,2004-09-08,-75.30683,40.61617,,,,,,,,,,,,,,gps,Cathartes aura,52067,Irma,Vultures Acopian Center USA 2003-2016
2165431128,true,2004-09-09,-75.22167,40.6345,,,,,,,,,,,,,,gps,Cathartes aura,52067,Irma,Vultures Acopian Center USA 2003-2016
2165431131,true,2004-09-10,-75.22183,40.6155,,,,,,,,,,,,,,gps,Cathartes aura,52067,Irma,Vultures Acopian Center USA 2003-2016
2165431142,true,2004-09-11,-75.2255,40.635,,,,,,,,,,,,,,gps,Cathartes aura,52067,Irma,Vultures Acopian Center USA 2003-2016
2165431147,true,2004-09-12,-75.1105,40.613,,,,,,,,,,,,,,gps,Cathartes aura,52067,Irma,Vultures Acopian Center USA 2003-2016
2165431163,true,2004-09-13,-75.0965,40.6,,,,,,,,,,,,,,gps,Cathartes aura,52067,Irma,Vultures Acopian Center USA 2003-2016
2165431178,true,2004-09-14,-75.11,40.58167,,,,,,,,,,,,,,gps,Cathartes aura,52067,Irma,Vultures Acopian Center USA 2003-2016
2165431186,true,2004-09-15,-75.28317,40.58217,,,,,,,,,,,,,,gps,Cathartes aura,52067,Irma,Vultures Acopian Center USA 2003-2016
2165431190,true,2004-09-22,-75.1715,40.63117,,,,,,,,,,,,,,gps,Cathartes aura,52067,Irma,Vultures Acopian Center USA 2003-2016
2165431197,true,2004-09-23,-75.22917,40.67217,,,,,,,,,,,,,,gps,Cathartes aura,52067,Irma,Vultures Acopian Center USA 2003-2016
2165431209,true,2004-09-24,-75.15667,40.62133,,,,,,,,,,,,,,gps,Cathartes aura,52067,Irma,Vultures Acopian Center USA 2003-2016
2165431219,true,2004-09-25,-75.01767,40.60583,,,,,,,,,,,,,,gps,Cathartes aura,52067,Irma,Vultures Acopian Center USA 2003-2016
2165431235,true,2004-09-26,-75.17083,40.62917,,,,,,,,,,,,,,gps,Cathartes aura,52067,Irma,Vultures Acopian Center USA 2003-2016
2165431249,true,2004-09-27,-75.21467,40.6145,,,,,,,,,,,,,,gps,Cathartes aura,52067,Irma,Vultures Acopian Center USA 2003-2016
2165431254,true,2004-09-28,-75.18517,40.61433,,,,,,,,,,,,,,gps,Cathartes aura,52067,Irma,Vultures Acopian Center USA 2003-2016
2165431266,true,2004-09-29,-75.17617,40.62833,,,,,,,,,,,,,,gps,Cathartes aura,52067,Irma,Vultures Acopian Center USA 2003-2016
2165431268,true,2004-10-01,-75.064,40.6,,,,,,,,,,,,,,gps,Cathartes aura,52067,Irma,Vultures Acopian Center USA 2003-2016
2165431277,true,2004-10-02,-74.9825,40.599,,,,,,,,,,,,,,gps,Cathartes aura,52067,Irma,Vultures Acopian Center USA 2003-2016
2165431278,true,2004-10-04,-75.17733,40.628,,,,,,,,,,,,,,gps,Cathartes aura,52067,Irma,Vultures Acopian Center USA 2003-2016
2165431291,true,2004-10-05,-75.225,40.62467,,,,,,,,,,,,,,gps,Cathartes aura,52067,Irma,Vultures Acopian Center USA 2003-2016
2165431306,true,2004-10-06,-75.02733,40.59833,,,,,,,,,,,,,,gps,Cathartes aura,52067,Irma,Vultures Acopian Center USA 2003-2016
