indicator,country,sum
2003-01,AR,2.0
2003-02,AR,5.0
2003-09,AR,1.0
2003-10,AR,1.0
2003-11,AR,1.0
2003-12,AR,5.0
2004-01,AR,4.0
2004-02,AR,11.0
2004-04,AR,1.0
2004-05,AR,1.0
2004-08,AR,1.0
2004-09,AR,4.0
2004-12,AR,1.0
2005-01,AR,5.0
2005-02,AR,5.0
2005-03,AR,9.0
2005-04,AR,1.0
2005-05,AR,2.0
2005-06,AR,3.0
2005-07,AR,4.0
2005-08,AR,5.0
2005-09,AR,2.0
2005-10,AR,1.0
2005-11,AR,5.0
2005-12,AR,5.0
2006-01,AR,2.0
2006-02,AR,5.0
2006-03,AR,4.0
2006-04,AR,1.0
2006-05,AR,1.0
2006-06,AR,1.0
2006-07,AR,1.0
2006-08,AR,3.0
2006-10,AR,16.0
2006-11,AR,10.0
2006-12,AR,2.0
2007-01,AR,4.0
2007-02,AR,6.0
2007-03,AR,2.0
2007-04,AR,3.0
2007-06,AR,1.0
2007-07,AR,1.0
2007-09,AR,2.0
2007-10,AR,2.0
2007-11,AR,11.0
2007-12,AR,9.0
2008-01,AR,3.0
2008-02,AR,3.0
2008-03,AR,6.0
2008-04,AR,2.0
2008-06,AR,2.0
2008-07,AR,8.0
2008-08,AR,2.0
2008-09,AR,13.0
2008-10,AR,12.0
2008-11,AR,5.0
2008-12,AR,21.0
2009-01,AR,5.0
2009-02,AR,10.0
2009-03,AR,9.0
2009-04,AR,9.0
2009-05,AR,15.0
2009-06,AR,4.0
2009-07,AR,1.0
2009-08,AR,1.0
2009-09,AR,3.0
2009-10,AR,21.0
2009-11,AR,20.0
2009-12,AR,9.0
2010-01,AR,14.0
2010-02,AR,10.0
2010-03,AR,8.0
2010-04,AR,2.0
2010-05,AR,3.0
2010-06,AR,3.0
2010-07,AR,1.0
2010-08,AR,1.0
2010-09,AR,4.0
2010-10,AR,3.0
2010-11,AR,5.0
2010-12,AR,8.0
2011-01,AR,8.0
2011-02,AR,10.0
2011-03,AR,8.0
2011-04,AR,4.0
2011-05,AR,6.0
2011-06,AR,1.0
2011-07,AR,2.0
2011-08,AR,5.0
2011-09,AR,11.0
2011-10,AR,20.0
2011-11,AR,12.0
2011-12,AR,2.0
2012-01,AR,19.0
2012-02,AR,20.0
2012-03,AR,9.0
2012-04,AR,5.0
2012-05,AR,4.0
2012-06,AR,2.0
2012-07,AR,2.0
2012-08,AR,5.0
2012-09,AR,5.0
2012-10,AR,8.0
2012-11,AR,29.0
2012-12,AR,12.0
2013-01,AR,22.0
2013-02,AR,16.0
2013-03,AR,17.0
2013-04,AR,14.0
2013-05,AR,13.0
2013-06,AR,4.0
2013-07,AR,5.0
2013-08,AR,7.0
2013-09,AR,31.0
2013-10,AR,32.0
2013-11,AR,18.0
2013-12,AR,24.0
2014-01,AR,17.0
2014-02,AR,33.0
2014-03,AR,38.0
2014-04,AR,20.0
2014-05,AR,20.0
2014-06,AR,18.0
2014-07,AR,17.0
2014-08,AR,16.0
2014-09,AR,31.0
2014-10,AR,57.0
2014-11,AR,54.0
2014-12,AR,27.0
2015-01,AR,30.0
2015-02,AR,20.0
2015-03,AR,21.0
2015-04,AR,42.0
2015-05,AR,52.0
2015-06,AR,17.0
2015-07,AR,24.0
2015-08,AR,36.0
2015-09,AR,41.0
2015-10,AR,40.0
2015-11,AR,43.0
2015-12,AR,18.0
2016-01,AR,47.0
2016-02,AR,31.0
2016-03,AR,22.0
2016-04,AR,38.0
2016-05,AR,27.0
2016-06,AR,10.0
2016-07,AR,13.0
2016-08,AR,16.0
2016-09,AR,26.0
